cluster,raw_log
5,"03-17 16:14:05.956  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.957  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.971  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.972  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
3,"03-17 16:14:05.979  1702  2105 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261870612, event=2, flags=0x0, uid=1000"
3,"03-17 16:14:05.979  1702  2105 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
4,"03-17 16:14:06.010  1702  1820 I DisplayPowerController: HBM brightnessIn =38"
4,"03-17 16:14:06.010  1702  1820 I DisplayPowerController: HBM brightnessOut =38"
3,"03-17 16:14:06.010  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200"
5,"03-17 16:14:06.043  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:06.044  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:06.057  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:06.057  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:06.064  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:06.065  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
3,"03-17 16:14:06.107  1702  1737 I WindowManager: Destroying surface Surface(name=PopupWindow:d76a91d) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555"
5,"03-17 16:14:06.115  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:06.115  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
3,"03-17 16:14:06.127  1702  8671 I WindowManager: Destroying surface Surface(name=PopupWindow:9b04807) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555"
5,"03-17 16:14:06.131  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:06.132  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:06.311  1702  1820 I DisplayPowerController: HBM brightnessIn =38"
4,"03-17 16:14:06.311  1702  1820 I DisplayPowerController: HBM brightnessOut =38"
3,"03-17 16:14:06.311  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200"
4,"03-17 16:14:06.612  1702  1820 I DisplayPowerController: HBM brightnessIn =38"
4,"03-17 16:14:06.613  1702  1820 I DisplayPowerController: HBM brightnessOut =38"
3,"03-17 16:14:06.613  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200"
4,"03-17 16:14:06.784  1702 17633 W ActivityManager: getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output"
3,"03-17 16:14:06.913  1702  2105 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261871547, event=2, flags=0x0, uid=1000"
3,"03-17 16:14:06.913  1702  2105 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
4,"03-17 16:14:06.916  1702  1820 I DisplayPowerController: HBM brightnessIn =38"
4,"03-17 16:14:06.916  1702  1820 I DisplayPowerController: HBM brightnessOut =38"
3,"03-17 16:14:06.916  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200"
3,"03-17 16:14:07.615  1702  2105 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261872249, event=2, flags=0x0, uid=1000"
3,"03-17 16:14:07.616  1702  2105 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
5,"03-17 16:14:07.697  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:07.698  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:07.710  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:07.711  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:07.747  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:07.748  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:07.763  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:07.765  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:07.859  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:07.860  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:07.878  2227  2227 V PhoneStatusBar: setLightsOn(true)"
9,"[Sun Dec 04 07:04:55 2005] [notice] jk2_init() Found child 32730 in scoreboard slot 7"
9,"[Sun Dec 04 07:04:55 2005] [notice] jk2_init() Found child 32729 in scoreboard slot 6"
9,"[Sun Dec 04 07:04:55 2005] [notice] jk2_init() Found child 32731 in scoreboard slot 8"
9,"[Sun Dec 04 07:05:44 2005] [notice] jk2_init() Found child 32739 in scoreboard slot 7"
9,"[Sun Dec 04 07:05:44 2005] [notice] jk2_init() Found child 32740 in scoreboard slot 8"
9,"[Sun Dec 04 07:06:11 2005] [notice] jk2_init() Found child 32742 in scoreboard slot 10"
9,"[Sun Dec 04 07:07:23 2005] [notice] jk2_init() Found child 32758 in scoreboard slot 7"
9,"[Sun Dec 04 07:07:23 2005] [notice] jk2_init() Found child 32755 in scoreboard slot 8"
9,"[Sun Dec 04 07:07:23 2005] [notice] jk2_init() Found child 32754 in scoreboard slot 11"
7,"[Sun Dec 04 07:07:30 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:07:30 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:07:30 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:07:30 2005] [error] mod_jk child workerEnv in error state 9"
8,"[Sun Dec 04 07:07:30 2005] [error] mod_jk child workerEnv in error state 10"
8,"[Sun Dec 04 07:07:30 2005] [error] mod_jk child workerEnv in error state 8"
9,"[Sun Dec 04 07:08:02 2005] [notice] jk2_init() Found child 32761 in scoreboard slot 6"
9,"[Sun Dec 04 07:08:02 2005] [notice] jk2_init() Found child 32762 in scoreboard slot 9"
9,"[Sun Dec 04 07:08:02 2005] [notice] jk2_init() Found child 32763 in scoreboard slot 10"
7,"[Sun Dec 04 07:08:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:08:04 2005] [error] mod_jk child workerEnv in error state 7"
7,"[Sun Dec 04 07:08:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:08:04 2005] [error] mod_jk child workerEnv in error state 6"
7,"[Sun Dec 04 07:08:04 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:08:04 2005] [error] mod_jk child workerEnv in error state 7"
9,"[Sun Dec 04 07:10:54 2005] [notice] jk2_init() Found child 308 in scoreboard slot 8"
9,"[Sun Dec 04 07:11:04 2005] [notice] jk2_init() Found child 310 in scoreboard slot 6"
9,"[Sun Dec 04 07:11:04 2005] [notice] jk2_init() Found child 309 in scoreboard slot 7"
7,"[Sun Dec 04 07:11:05 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:11:05 2005] [error] mod_jk child workerEnv in error state 6"
7,"[Sun Dec 04 07:11:13 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:11:13 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:11:22 2005] [error] mod_jk child workerEnv in error state 6"
8,"[Sun Dec 04 07:11:22 2005] [error] mod_jk child workerEnv in error state 6"
9,"[Sun Dec 04 07:11:49 2005] [notice] jk2_init() Found child 311 in scoreboard slot 9"
7,"[Sun Dec 04 07:12:05 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:12:08 2005] [error] mod_jk child workerEnv in error state 6"
9,"[Sun Dec 04 07:12:22 2005] [notice] jk2_init() Found child 312 in scoreboard slot 10"
9,"[Sun Dec 04 07:12:22 2005] [notice] jk2_init() Found child 313 in scoreboard slot 8"
7,"[Sun Dec 04 07:12:40 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:12:40 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:12:44 2005] [error] mod_jk child workerEnv in error state 6"
8,"[Sun Dec 04 07:12:44 2005] [error] mod_jk child workerEnv in error state 6"
9,"[Sun Dec 04 07:13:09 2005] [notice] jk2_init() Found child 314 in scoreboard slot 7"
9,"[Sun Dec 04 07:13:09 2005] [notice] jk2_init() Found child 315 in scoreboard slot 6"
9,"[Sun Dec 04 07:13:10 2005] [notice] jk2_init() Found child 316 in scoreboard slot 9"
7,"[Sun Dec 04 07:13:36 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:13:36 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
7,"[Sun Dec 04 07:13:36 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:13:41 2005] [error] mod_jk child workerEnv in error state 6"
8,"[Sun Dec 04 07:13:41 2005] [error] mod_jk child workerEnv in error state 6"
9,"[Sun Dec 04 07:14:07 2005] [notice] jk2_init() Found child 319 in scoreboard slot 7"
9,"[Sun Dec 04 07:14:07 2005] [notice] jk2_init() Found child 317 in scoreboard slot 10"
9,"[Sun Dec 04 07:14:08 2005] [notice] jk2_init() Found child 318 in scoreboard slot 8"
7,"[Sun Dec 04 07:14:21 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:14:29 2005] [error] mod_jk child workerEnv in error state 7"
9,"[Sun Dec 04 07:14:47 2005] [notice] jk2_init() Found child 321 in scoreboard slot 9"
9,"[Sun Dec 04 07:15:09 2005] [notice] jk2_init() Found child 324 in scoreboard slot 11"
9,"[Sun Dec 04 07:15:09 2005] [notice] jk2_init() Found child 323 in scoreboard slot 8"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 350 in scoreboard slot 9"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 353 in scoreboard slot 12"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 352 in scoreboard slot 11"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 349 in scoreboard slot 8"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 348 in scoreboard slot 7"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 347 in scoreboard slot 6"
9,"[Sun Dec 04 07:17:56 2005] [notice] jk2_init() Found child 351 in scoreboard slot 10"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 7"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 6"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 7"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 8"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 7"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 6"
7,"[Sun Dec 04 07:18:00 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
8,"[Sun Dec 04 07:18:00 2005] [error] mod_jk child workerEnv in error state 7"
7,"[Sun Dec 04 07:45:45 2005] [error] [client 63.13.186.196] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 08:54:17 2005] [error] [client 147.31.138.75] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 09:35:12 2005] [error] [client 207.203.80.15] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 10:53:30 2005] [error] [client 218.76.139.20] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 11:11:07 2005] [error] [client 24.147.151.74] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 11:33:18 2005] [error] [client 211.141.93.88] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 11:42:43 2005] [error] [client 216.127.124.16] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 12:33:13 2005] [error] [client 208.51.151.210] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 13:32:32 2005] [error] [client 65.68.235.27] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 14:29:00 2005] [error] [client 4.245.93.87] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 15:18:36 2005] [error] [client 67.154.58.130] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 15:59:01 2005] [error] [client 24.83.37.136] Directory index forbidden by rule: /var/www/html/"
9,"[Sun Dec 04 16:24:03 2005] [notice] jk2_init() Found child 1219 in scoreboard slot 6"
7,"[Sun Dec 04 16:24:05 2005] [error] [client 58.225.62.140] Directory index forbidden by rule: /var/www/html/"
7,"[Sun Dec 04 16:24:06 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties"
